departure_airport_id,departure_airport_name,departure_time,arrival_airport_id,arrival_airport_name,arrival_time,airline,flight_number,airplane,travel_class,duration_min,legroom,overnight,extensions_flight,index_tramo,total_duration,layovers,price_usd,type,extensions_group,emissions_this_flight,emissions_typical_route,emissions_difference_percent,booking_token,departure_date
PTY,Tocumen International Airport Panama,2025-07-05 13:55,MIA,Miami International Airport,2025-07-05 18:00,American,AA 960,Airbus A319,Economy,185,30 in,False,Average legroom (30 in); Wi-Fi for a fee; In-seat power outlet; Stream media to your device; Carbon emissions estimate: 186 kg,0,185,,308,One way,,186000,170000,9,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ1ZCUVRrMk1Cb0xDTS93QVJBQ0dnTlZVMFE0SEhEUDhBRT0iLFtbIlBUWSIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkFBIiwiOTYwIl1dXQ==,2025-07-05
PTY,Tocumen International Airport Panama,2025-07-05 15:10,MIA,Miami International Airport,2025-07-05 19:15,American,AA 2192,Airbus A319,Economy,185,30 in,False,Average legroom (30 in); Wi-Fi for a fee; In-seat power outlet; Stream media to your device; Carbon emissions estimate: 186 kg,0,185,,308,One way,,186000,170000,9,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ1pCUVRJeE9USWFDd2pQOEFFUUFob0RWVk5FT0J4d3ovQUIiLFtbIlBUWSIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkFBIiwiMjE5MiJdXV0=,2025-07-05
PTY,Tocumen International Airport Panama,2025-07-05 10:25,MIA,Miami International Airport,2025-07-05 14:36,COPA,CM 334,Boeing 737,Economy,191,31 in,False,Average legroom (31 in); In-seat USB outlet; On-demand video; Carbon emissions estimate: 158 kg,0,191,,357,One way,,159000,170000,-6,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ1ZEVFRNek5Cb0xDSitXQWhBQ0dnTlZVMFE0SEhDZmxnST0iLFtbIlBUWSIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkNNIiwiMzM0Il1dXQ==,2025-07-05
PTY,Tocumen International Airport Panama,2025-07-05 15:40,MDE,Jose Maria Cordova International Airport,2025-07-05 16:55,Avianca,AV 317,Airbus A320,Economy,75,28 in,False,Below average legroom (28 in); In-seat USB outlet; Stream media to your device; Carbon emissions estimate: 63 kg,0,705,MDE (415min),167,One way,,253000,170000,49,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ3BCVmpNeE4zeEJWak15R2dzSXNZSUJFQUlhQTFWVFJEZ2NjTEdDQVE9PSIsW1siUFRZIiwiMjAyNS0wNy0wNSIsIk1ERSIsbnVsbCwiQVYiLCIzMTciXSxbIk1ERSIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkFWIiwiMzIiXV1d,2025-07-05
MDE,Jose Maria Cordova International Airport,2025-07-05 23:50,MIA,Miami International Airport,2025-07-06 04:25,Avianca,AV 32,Airbus A320,Economy,215,28 in,True,Below average legroom (28 in); In-seat USB outlet; Stream media to your device; Carbon emissions estimate: 189 kg,1,705,MDE (415min),167,One way,,253000,170000,49,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ3BCVmpNeE4zeEJWak15R2dzSXNZSUJFQUlhQTFWVFJEZ2NjTEdDQVE9PSIsW1siUFRZIiwiMjAyNS0wNy0wNSIsIk1ERSIsbnVsbCwiQVYiLCIzMTciXSxbIk1ERSIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkFWIiwiMzIiXV1d,2025-07-05
PTY,Tocumen International Airport Panama,2025-07-05 22:05,BOG,El Dorado International Airport,2025-07-05 23:39,Avianca,AV 57,Airbus A320,Economy,94,28 in,False,Below average legroom (28 in); In-seat USB outlet; Stream media to your device; Carbon emissions estimate: 79 kg,0,645,BOG (326min),167,One way,,235000,170000,38,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ2hCVmpVM2ZFRldOaG9MQ0xHQ0FSQUNHZ05WVTBRNEhIQ3hnZ0U9IixbWyJQVFkiLCIyMDI1LTA3LTA1IiwiQk9HIixudWxsLCJBViIsIjU3Il0sWyJCT0ciLCIyMDI1LTA3LTA2IiwiTUlBIixudWxsLCJBViIsIjYiXV1d,2025-07-05
BOG,El Dorado International Airport,2025-07-06 05:05,MIA,Miami International Airport,2025-07-06 09:50,Avianca,AV 6,Airbus A320neo,Economy,225,28 in,False,Below average legroom (28 in); In-seat USB outlet; Stream media to your device; Carbon emissions estimate: 155 kg,1,645,BOG (326min),167,One way,,235000,170000,38,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ2hCVmpVM2ZFRldOaG9MQ0xHQ0FSQUNHZ05WVTBRNEhIQ3hnZ0U9IixbWyJQVFkiLCIyMDI1LTA3LTA1IiwiQk9HIixudWxsLCJBViIsIjU3Il0sWyJCT0ciLCIyMDI1LTA3LTA2IiwiTUlBIixudWxsLCJBViIsIjYiXV1d,2025-07-06
PTY,Tocumen International Airport Panama,2025-07-05 03:25,BOG,El Dorado International Airport,2025-07-05 05:00,Avianca,AV 41,Airbus A320,Economy,95,28 in,True,Below average legroom (28 in); In-seat USB outlet; Stream media to your device; Carbon emissions estimate: 79 kg,0,485,BOG (165min),285,One way,,261000,170000,54,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ3BCVmpReGZFRldNVEkyR2dzSW90NEJFQUlhQTFWVFJEZ2NjS0xlQVE9PSIsW1siUFRZIiwiMjAyNS0wNy0wNSIsIkJPRyIsbnVsbCwiQVYiLCI0MSJdLFsiQk9HIiwiMjAyNS0wNy0wNSIsIk1JQSIsbnVsbCwiQVYiLCIxMjYiXV1d,2025-07-05
BOG,El Dorado International Airport,2025-07-05 07:45,MIA,Miami International Airport,2025-07-05 12:30,Avianca,AV 126,Airbus A320,Economy,225,28 in,False,Below average legroom (28 in); In-seat USB outlet; Stream media to your device; Carbon emissions estimate: 181 kg,1,485,BOG (165min),285,One way,,261000,170000,54,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ3BCVmpReGZFRldNVEkyR2dzSW90NEJFQUlhQTFWVFJEZ2NjS0xlQVE9PSIsW1siUFRZIiwiMjAyNS0wNy0wNSIsIkJPRyIsbnVsbCwiQVYiLCI0MSJdLFsiQk9HIiwiMjAyNS0wNy0wNSIsIk1JQSIsbnVsbCwiQVYiLCIxMjYiXV1d,2025-07-05
PTY,Tocumen International Airport Panama,2025-07-05 09:55,BOG,El Dorado International Airport,2025-07-05 11:24,Avianca,AV 59,Airbus A320,Economy,89,28 in,False,Below average legroom (28 in); In-seat USB outlet; Stream media to your device; Carbon emissions estimate: 79 kg,0,420,BOG (86min),285,One way,,235000,170000,38,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ2hCVmpVNWZFRldOQm9MQ0tMZUFSQUNHZ05WVTBRNEhIQ2kzZ0U9IixbWyJQVFkiLCIyMDI1LTA3LTA1IiwiQk9HIixudWxsLCJBViIsIjU5Il0sWyJCT0ciLCIyMDI1LTA3LTA1IiwiTUlBIixudWxsLCJBViIsIjQiXV1d,2025-07-05
