consulta_fecha,dias_anticipacion,departure_airport_id,departure_airport_name,arrival_airport_id,arrival_airport_name,departure_date,departure_time,arrival_time,airline_1,airline_2,airline_3,airline_4,operator_1,operator_2,operator_3,operator_4,travel_class,duration_min,price_clp,type,emissions_this_flight,emissions_difference_percent,stops

2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,1:12 PM,8:55 PM,Qatar Airways,American,,,,,,,Premium Economy,1363,1082337,One way,41,-16,2 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,1:55 PM,6:35 PM,United,,,,,,,,Premium Economy,1180,1495234,One way,280,,1 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,3:50 PM,10:35 PM,Lufthansa,United,,,,,,,Premium Economy,1305,1544860,One way,98,-12,1 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,12:15 PM,12:00 PM,Emirates,,,,,,,,Premium Economy,885,1757384,One way,344,8,Nonstop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,5:20 PM,10:35 PM,Lufthansa,United,,,,,,,Premium Economy,1215,1549066,One way,283,,2 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,3:50 PM,10:35 PM,Air France,Delta,,,,,,,Premium Economy,1305,1913926,One way,198,,1 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,6:32 PM,11:00 PM,Delta,KLM,,,,,,,Premium Economy,1168,1918131,One way,260,,2 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,4:00 PM,7:45 PM,Emirates,United,,,,,,,Premium Economy,1125,2121402,One way,552,25,1 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,7:35 PM,11:10 PM,British Airways,American,,,,,,,Premium Economy,1115,4948038,One way,280,,1 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,1:12 PM,8:55 PM,Qatar Airways,American,,,,,,,Premium Economy,1363,1082337,One way,41,-16,2 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,1:55 PM,6:35 PM,United,,,,,,,,Premium Economy,1180,1495234,One way,280,,1 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,3:50 PM,10:35 PM,Lufthansa,United,,,,,,,Premium Economy,1305,1544860,One way,98,-12,1 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,12:15 PM,12:00 PM,Emirates,,,,,,,,Premium Economy,885,1757384,One way,344,8,Nonstop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,5:20 PM,10:35 PM,Lufthansa,United,,,,,,,Premium Economy,1215,1549066,One way,283,,2 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,3:50 PM,10:35 PM,Air France,Delta,,,,,,,Premium Economy,1305,1913926,One way,198,,1 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,6:32 PM,11:00 PM,Delta,KLM,,,,,,,Premium Economy,1168,1918131,One way,260,,2 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,4:00 PM,7:45 PM,Emirates,United,,,,,,,Premium Economy,1125,2121402,One way,552,25,1 stop
2025-05-19,36,DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,2025-06-24,7:35 PM,11:10 PM,British Airways,American,,,,,,,Premium Economy,1115,4948038,One way,280,,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,4:35 PM,8:50 AM,Delta,KLM,,,,,,,Economy,615,706908,Round trip,443,-11,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,8:20 PM,11:40 PM,Lufthansa,,,,,,,,Economy,1280,719695,Round trip,517,,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,5:10 PM,9:15 AM,Scandinavian Airlines,,,,Sas Connect,,,,Economy,605,865036,Round trip,609,22,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,8:50 PM,12:45 PM,Icelandair,,,,,,,,Economy,595,1024502,Round trip,469,-6,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,10:10 PM,9:00 PM,Scandinavian Airlines,KLM,,,,,,,Economy,1010,706507,Round trip,467,-6,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,10:10 PM,7:40 PM,KLM Cityhopper,KLM,,,KLM Cityhopper,KLM Cityhopper,,,Economy,930,706908,Round trip,476,,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,1:55 PM,7:25 AM,Scandinavian Airlines,Air Canada,,,Air Canada Express - Jazz,Air Canada Express - Jazz,,,Economy,690,841203,Round trip,546,10,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,4:35 PM,12:10 PM,Air Canada,SWISS,,,,,,,Economy,815,994711,Round trip,511,,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,8:20 PM,2:20 PM,Air Canada,Lufthansa,,,,,,,Economy,115,996854,Round trip,517,,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,6:15 PM,11:40 AM,Air France,,,,,,,,Economy,685,1634720,Round trip,483,,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,6:35 PM,12:00 PM,Brussels Airlines,Air Canada,,,,,,,Economy,685,1819492,Round trip,468,-6,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,4:35 PM,8:50 AM,Delta,KLM,,,,,,,Economy,615,706908,Round trip,443,-11,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,8:20 PM,11:40 PM,Lufthansa,,,,,,,,Economy,1280,719695,Round trip,517,,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,5:10 PM,9:15 AM,Scandinavian Airlines,,,,Sas Connect,,,,Economy,605,865036,Round trip,609,22,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,8:50 PM,12:45 PM,Icelandair,,,,,,,,Economy,595,1024502,Round trip,469,-6,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,10:10 PM,9:00 PM,Scandinavian Airlines,KLM,,,,,,,Economy,1010,706507,Round trip,467,-6,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,10:10 PM,7:40 PM,KLM Cityhopper,KLM,,,KLM Cityhopper,KLM Cityhopper,,,Economy,930,706908,Round trip,476,,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,1:55 PM,7:25 AM,Scandinavian Airlines,Air Canada,,,Air Canada Express - Jazz,Air Canada Express - Jazz,,,Economy,690,841203,Round trip,546,10,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,4:35 PM,12:10 PM,Air Canada,SWISS,,,,,,,Economy,815,994711,Round trip,511,,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,8:20 PM,2:20 PM,Air Canada,Lufthansa,,,,,,,Economy,115,996854,Round trip,517,,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,6:15 PM,11:40 AM,Air France,,,,,,,,Economy,685,1634720,Round trip,483,,1 stop
2025-05-19,6,YYZ,Toronto Pearson International Airport,ARN,Stockholm Arlanda Airport,2025-05-25,6:35 PM,12:00 PM,Brussels Airlines,Air Canada,,,,,,,Economy,685,1819492,Round trip,468,-6,1 stop
2025-05-19,56,EZE,Ezeiza International Airport,OSL,Oslo lufthavn,2025-07-14,4:40 PM,3:40 PM,Lufthansa,,,,,,,,First,160,12362813,One way,638,11,1 stop
2025-05-19,56,EZE,Ezeiza International Airport,OSL,Oslo lufthavn,2025-07-14,6:15 AM,11:55 PM,Helvetic,SWISS,,,,,,,First,2200,12408064,One way,245,,2 stop
2025-05-19,56,EZE,Ezeiza International Airport,OSL,Oslo lufthavn,2025-07-14,4:40 PM,6:45 PM,Scandinavian Airlines,Lufthansa,,,,,,,First,1265,12447821,One way,726,14,2 stop
